"cpv_code","cpv_label","level","division_code","division_label","parent_code","parent_label","category","related_concepts","embedding_text"
"03400000-4","Forestry and logging products","3","03000000-1","Agricultural, farming, fishing, forestry and related products","03000000-1","Agricultural, farming, fishing, forestry and related products","Agricultural, farming, fishing, forestry and related products","wood; gums; cork; forestry; tree; nursery; pulp; logging","CPV code: 03400000-4
Label: Forestry and logging products
Category: Agricultural, farming, fishing, forestry and related products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products
Related concepts: wood; gums; cork; forestry; tree; nursery; pulp; logging"
"03410000-7","Wood","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03400000-4","Forestry and logging products","Forestry and logging products","coniferous; wood; tropical; fuel; rough; softwood; waste","CPV code: 03410000-7
Label: Wood
Category: Forestry and logging products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products > Wood
Related concepts: coniferous; wood; tropical; fuel; rough; softwood; waste"
"03420000-0","Gums","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03400000-4","Forestry and logging products","Forestry and logging products","balsams; lac; gums","CPV code: 03420000-0
Label: Gums
Category: Forestry and logging products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products > Gums
Related concepts: balsams; lac; gums"
"03430000-3","Cork","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03400000-4","Forestry and logging products","Forestry and logging products","natural; cork; basketware","CPV code: 03430000-3
Label: Cork
Category: Forestry and logging products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products > Cork
Related concepts: natural; cork; basketware"
"03440000-6","Forestry products","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03400000-4","Forestry and logging products","Forestry and logging products","ornamental; plants; grasses; mosses; lichens; forestry","CPV code: 03440000-6
Label: Forestry products
Category: Forestry and logging products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products > Forestry products
Related concepts: ornamental; plants; grasses; mosses; lichens; forestry"
"03450000-9","Tree-nursery products","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03400000-4","Forestry and logging products","Forestry and logging products","plants; trees; tree; nursery","CPV code: 03450000-9
Label: Tree-nursery products
Category: Forestry and logging products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products > Tree-nursery products
Related concepts: plants; trees; tree; nursery"
"03460000-2","Pulp","4","03000000-1","Agricultural, farming, fishing, forestry and related products","03400000-4","Forestry and logging products","Forestry and logging products","wood; pulp","CPV code: 03460000-2
Label: Pulp
Category: Forestry and logging products
Division: Agricultural, farming, fishing, forestry and related products
Hierarchy: Agricultural, farming, fishing, forestry and related products > Forestry and logging products > Pulp
Related concepts: wood; pulp"
"09000000-3","Petroleum products, fuel, electricity and other sources of energy","2","09000000-3","Petroleum products, fuel, electricity and other sources of energy","","","Petroleum products, fuel, electricity and other sources of energy","fuels; petroleum; coal; oil; electricity; heating; solar; nuclear; fuel; sources","CPV code: 09000000-3
Label: Petroleum products, fuel, electricity and other sources of energy
Category: Petroleum products, fuel, electricity and other sources of energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy
Related concepts: fuels; petroleum; coal; oil; electricity; heating; solar; nuclear; fuel; sources"
"09100000-0","Fuels","3","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09000000-3","Petroleum products, fuel, electricity and other sources of energy","Petroleum products, fuel, electricity and other sources of energy","solid; fuels; gaseous; petroleum; distillates","CPV code: 09100000-0
Label: Fuels
Category: Petroleum products, fuel, electricity and other sources of energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Fuels
Related concepts: solid; fuels; gaseous; petroleum; distillates"
"09110000-3","Solid fuels","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09100000-0","Fuels","Fuels","coal; based; fuels; lignite; peat; coke; solid","CPV code: 09110000-3
Label: Solid fuels
Category: Fuels
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Fuels > Solid fuels
Related concepts: coal; based; fuels; lignite; peat; coke; solid"
"09120000-6","Gaseous fuels","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09100000-0","Fuels","Fuels","coal; gas; mains; similar; gases; propane; butane; natural; gaseous; fuels","CPV code: 09120000-6
Label: Gaseous fuels
Category: Fuels
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Fuels > Gaseous fuels
Related concepts: coal; gas; mains; similar; gases; propane; butane; natural; gaseous; fuels"
"09130000-9","Petroleum and distillates","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09100000-0","Fuels","Fuels","aviation; kerosene; petrol; liquefied; petroleum; gas; lpg; oils; distillates","CPV code: 09130000-9
Label: Petroleum and distillates
Category: Fuels
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Fuels > Petroleum and distillates
Related concepts: aviation; kerosene; petrol; liquefied; petroleum; gas; lpg; oils; distillates"
"09200000-1","Petroleum, coal and oil products","3","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09000000-3","Petroleum products, fuel, electricity and other sources of energy","Petroleum products, fuel, electricity and other sources of energy","lubricating; preparations; petroleum; jelly; waxes; spirits; crude; oil; coal","CPV code: 09200000-1
Label: Petroleum, coal and oil products
Category: Petroleum products, fuel, electricity and other sources of energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Petroleum, coal and oil products
Related concepts: lubricating; preparations; petroleum; jelly; waxes; spirits; crude; oil; coal"
"09210000-4","Lubricating preparations","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09200000-1","Petroleum, coal and oil products","Petroleum, coal and oil products","lubricating; oils; agents; preparations","CPV code: 09210000-4
Label: Lubricating preparations
Category: Petroleum, coal and oil products
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Petroleum, coal and oil products > Lubricating preparations
Related concepts: lubricating; oils; agents; preparations"
"09220000-7","Petroleum jelly, waxes and special spirits","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09200000-1","Petroleum, coal and oil products","Petroleum, coal and oil products","petroleum; jelly; waxes; spirits","CPV code: 09220000-7
Label: Petroleum jelly, waxes and special spirits
Category: Petroleum, coal and oil products
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Petroleum, coal and oil products > Petroleum jelly, waxes and special spirits
Related concepts: petroleum; jelly; waxes; spirits"
"09230000-0","Petroleum (crude)","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09200000-1","Petroleum, coal and oil products","Petroleum, coal and oil products","lubricating; preparations; petroleum; jelly; waxes; spirits; oil; coal; crude","CPV code: 09230000-0
Label: Petroleum (crude)
Category: Petroleum, coal and oil products
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Petroleum, coal and oil products > Petroleum (crude)
Related concepts: lubricating; preparations; petroleum; jelly; waxes; spirits; oil; coal; crude"
"09240000-3","Oil and coal-related products","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09200000-1","Petroleum, coal and oil products","Petroleum, coal and oil products","bituminous; oil; shale; coal","CPV code: 09240000-3
Label: Oil and coal-related products
Category: Petroleum, coal and oil products
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Petroleum, coal and oil products > Oil and coal-related products
Related concepts: bituminous; oil; shale; coal"
"09300000-2","Electricity, heating, solar and nuclear energy","3","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09000000-3","Petroleum products, fuel, electricity and other sources of energy","Petroleum products, fuel, electricity and other sources of energy","electricity; steam; hot; water; associated; solar; energy; nuclear; heating","CPV code: 09300000-2
Label: Electricity, heating, solar and nuclear energy
Category: Petroleum products, fuel, electricity and other sources of energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Electricity, heating, solar and nuclear energy
Related concepts: electricity; steam; hot; water; associated; solar; energy; nuclear; heating"
"09310000-5","Electricity","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09300000-2","Electricity, heating, solar and nuclear energy","Electricity, heating, solar and nuclear energy","steam; hot; water; associated; solar; energy; nuclear; fuels; electricity","CPV code: 09310000-5
Label: Electricity
Category: Electricity, heating, solar and nuclear energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Electricity, heating, solar and nuclear energy > Electricity
Related concepts: steam; hot; water; associated; solar; energy; nuclear; fuels; electricity"
"09320000-8","Steam, hot water and associated products","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09300000-2","Electricity, heating, solar and nuclear energy","Electricity, heating, solar and nuclear energy","hot; water; steam; district; heating; long; distance; associated","CPV code: 09320000-8
Label: Steam, hot water and associated products
Category: Electricity, heating, solar and nuclear energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Electricity, heating, solar and nuclear energy > Steam, hot water and associated products
Related concepts: hot; water; steam; district; heating; long; distance; associated"
"09330000-1","Solar energy","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09300000-2","Electricity, heating, solar and nuclear energy","Electricity, heating, solar and nuclear energy","solar; panels; energy","CPV code: 09330000-1
Label: Solar energy
Category: Electricity, heating, solar and nuclear energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Electricity, heating, solar and nuclear energy > Solar energy
Related concepts: solar; panels; energy"
"09340000-4","Nuclear fuels","4","09000000-3","Petroleum products, fuel, electricity and other sources of energy","09300000-2","Electricity, heating, solar and nuclear energy","Electricity, heating, solar and nuclear energy","uranium; plutonium; radioactive; materials; radio; isotopes; nuclear; fuels","CPV code: 09340000-4
Label: Nuclear fuels
Category: Electricity, heating, solar and nuclear energy
Division: Petroleum products, fuel, electricity and other sources of energy
Hierarchy: Petroleum products, fuel, electricity and other sources of energy > Electricity, heating, solar and nuclear energy > Nuclear fuels
Related concepts: uranium; plutonium; radioactive; materials; radio; isotopes; nuclear; fuels"
"14000000-1","Mining, basic metals and related products","2","14000000-1","Mining, basic metals and related products","","","Mining, basic metals and related products","sand; clay; chemical; fertiliser; minerals; salt; pure; sodium; mining; basic","CPV code: 14000000-1
Label: Mining, basic metals and related products
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products
Related concepts: sand; clay; chemical; fertiliser; minerals; salt; pure; sodium; mining; basic"
"14200000-3","Sand and clay","3","14000000-1","Mining, basic metals and related products","14000000-1","Mining, basic metals and related products","Mining, basic metals and related products","gravel; sand; crushed; stone; aggregates; clay; kaolin","CPV code: 14200000-3
Label: Sand and clay
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Sand and clay
Related concepts: gravel; sand; crushed; stone; aggregates; clay; kaolin"
"14210000-6","Gravel, sand, crushed stone and aggregates","4","14000000-1","Mining, basic metals and related products","14200000-3","Sand and clay","Sand and clay","sand; granules; chippings; stone; powder; pebbles; gravel; broken; crushed; aggregates","CPV code: 14210000-6
Label: Gravel, sand, crushed stone and aggregates
Category: Sand and clay
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Sand and clay > Gravel, sand, crushed stone and aggregates
Related concepts: sand; granules; chippings; stone; powder; pebbles; gravel; broken; crushed; aggregates"
"14220000-9","Clay and kaolin","4","14000000-1","Mining, basic metals and related products","14200000-3","Sand and clay","Sand and clay","clay; kaolin","CPV code: 14220000-9
Label: Clay and kaolin
Category: Sand and clay
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Sand and clay > Clay and kaolin
Related concepts: clay; kaolin"
"14300000-4","Chemical and fertiliser minerals","3","14000000-1","Mining, basic metals and related products","14000000-1","Mining, basic metals and related products","Mining, basic metals and related products","fertiliser; minerals; chemical","CPV code: 14300000-4
Label: Chemical and fertiliser minerals
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Chemical and fertiliser minerals
Related concepts: fertiliser; minerals; chemical"
"14310000-7","Fertiliser minerals","4","14000000-1","Mining, basic metals and related products","14300000-4","Chemical and fertiliser minerals","Chemical and fertiliser minerals","natural; calcium; aluminium; phosphate; crude; potassium; salts; iron; fertiliser; minerals","CPV code: 14310000-7
Label: Fertiliser minerals
Category: Chemical and fertiliser minerals
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Chemical and fertiliser minerals > Fertiliser minerals
Related concepts: natural; calcium; aluminium; phosphate; crude; potassium; salts; iron; fertiliser; minerals"
"14320000-0","Chemical minerals","4","14000000-1","Mining, basic metals and related products","14300000-4","Chemical and fertiliser minerals","Chemical and fertiliser minerals","fertiliser; minerals; chemical","CPV code: 14320000-0
Label: Chemical minerals
Category: Chemical and fertiliser minerals
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Chemical and fertiliser minerals > Chemical minerals
Related concepts: fertiliser; minerals; chemical"
"14400000-5","Salt and pure sodium chloride","3","14000000-1","Mining, basic metals and related products","14000000-1","Mining, basic metals and related products","Mining, basic metals and related products","rock; salt; sea; evaporated; pure; sodium; chloride; brine","CPV code: 14400000-5
Label: Salt and pure sodium chloride
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Salt and pure sodium chloride
Related concepts: rock; salt; sea; evaporated; pure; sodium; chloride; brine"
"14410000-8","Rock salt","4","14000000-1","Mining, basic metals and related products","14400000-5","Salt and pure sodium chloride","Salt and pure sodium chloride","sea; salt; evaporated; pure; sodium; chloride; brine; rock","CPV code: 14410000-8
Label: Rock salt
Category: Salt and pure sodium chloride
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Salt and pure sodium chloride > Rock salt
Related concepts: sea; salt; evaporated; pure; sodium; chloride; brine; rock"
"14420000-1","Sea salt","4","14000000-1","Mining, basic metals and related products","14400000-5","Salt and pure sodium chloride","Salt and pure sodium chloride","rock; salt; evaporated; pure; sodium; chloride; brine; sea","CPV code: 14420000-1
Label: Sea salt
Category: Salt and pure sodium chloride
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Salt and pure sodium chloride > Sea salt
Related concepts: rock; salt; evaporated; pure; sodium; chloride; brine; sea"
"14430000-4","Evaporated salt and pure sodium chloride","4","14000000-1","Mining, basic metals and related products","14400000-5","Salt and pure sodium chloride","Salt and pure sodium chloride","rock; salt; sea; brine; evaporated; pure; sodium; chloride","CPV code: 14430000-4
Label: Evaporated salt and pure sodium chloride
Category: Salt and pure sodium chloride
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Salt and pure sodium chloride > Evaporated salt and pure sodium chloride
Related concepts: rock; salt; sea; brine; evaporated; pure; sodium; chloride"
"14450000-0","Salt in brine","4","14000000-1","Mining, basic metals and related products","14400000-5","Salt and pure sodium chloride","Salt and pure sodium chloride","rock; salt; sea; evaporated; pure; sodium; chloride; brine","CPV code: 14450000-0
Label: Salt in brine
Category: Salt and pure sodium chloride
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Salt and pure sodium chloride > Salt in brine
Related concepts: rock; salt; sea; evaporated; pure; sodium; chloride; brine"
"14500000-6","Related mining and quarrying products","3","14000000-1","Mining, basic metals and related products","14000000-1","Mining, basic metals and related products","Mining, basic metals and related products","precious; semi; stones; pumice; stone; emery; natural; abrasives; mining; quarrying","CPV code: 14500000-6
Label: Related mining and quarrying products
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Related mining and quarrying products
Related concepts: precious; semi; stones; pumice; stone; emery; natural; abrasives; mining; quarrying"
"14520000-2","Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals","4","14000000-1","Mining, basic metals and related products","14500000-6","Related mining and quarrying products","Related mining and quarrying products","precious; semi; stones; industrial; diamonds; pumice; stone; emery; natural; abrasives","CPV code: 14520000-2
Label: Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals
Category: Related mining and quarrying products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Related mining and quarrying products > Precious and semi-precious stones, pumice stone, emery, natural abrasives, other minerals and precious metals
Related concepts: precious; semi; stones; industrial; diamonds; pumice; stone; emery; natural; abrasives"
"14600000-7","Metal ores and alloys","3","14000000-1","Mining, basic metals and related products","14000000-1","Mining, basic metals and related products","Mining, basic metals and related products","metal; ores; alloys; slag; dross; ferrous; waste; scrap","CPV code: 14600000-7
Label: Metal ores and alloys
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Metal ores and alloys
Related concepts: metal; ores; alloys; slag; dross; ferrous; waste; scrap"
"14610000-0","Metal ores","4","14000000-1","Mining, basic metals and related products","14600000-7","Metal ores and alloys","Metal ores and alloys","iron; ores; non; ferrous; metal; uranium; thorium","CPV code: 14610000-0
Label: Metal ores
Category: Metal ores and alloys
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Metal ores and alloys > Metal ores
Related concepts: iron; ores; non; ferrous; metal; uranium; thorium"
"14620000-3","Alloys","4","14000000-1","Mining, basic metals and related products","14600000-7","Metal ores and alloys","Metal ores and alloys","ferro; alloys; steel","CPV code: 14620000-3
Label: Alloys
Category: Metal ores and alloys
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Metal ores and alloys > Alloys
Related concepts: ferro; alloys; steel"
"14630000-6","Slag, dross, ferrous waste and scrap","4","14000000-1","Mining, basic metals and related products","14600000-7","Metal ores and alloys","Metal ores and alloys","metal; ores; alloys; slag; dross; ferrous; waste; scrap","CPV code: 14630000-6
Label: Slag, dross, ferrous waste and scrap
Category: Metal ores and alloys
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Metal ores and alloys > Slag, dross, ferrous waste and scrap
Related concepts: metal; ores; alloys; slag; dross; ferrous; waste; scrap"
"14700000-8","Basic metals","3","14000000-1","Mining, basic metals and related products","14000000-1","Mining, basic metals and related products","Mining, basic metals and related products","iron; lead; zinc; tin; copper; aluminium; nickel; scandium; basic; metals","CPV code: 14700000-8
Label: Basic metals
Category: Mining, basic metals and related products
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Basic metals
Related concepts: iron; lead; zinc; tin; copper; aluminium; nickel; scandium; basic; metals"
"14710000-1","Iron, lead, zinc, tin and copper","4","14000000-1","Mining, basic metals and related products","14700000-8","Basic metals","Basic metals","iron; lead; zinc; tin; copper","CPV code: 14710000-1
Label: Iron, lead, zinc, tin and copper
Category: Basic metals
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Basic metals > Iron, lead, zinc, tin and copper
Related concepts: iron; lead; zinc; tin; copper"
"14720000-4","Aluminium, nickel, scandium, titanium and vanadium","4","14000000-1","Mining, basic metals and related products","14700000-8","Basic metals","Basic metals","aluminium; nickel; scandium; titanium; vanadium","CPV code: 14720000-4
Label: Aluminium, nickel, scandium, titanium and vanadium
Category: Basic metals
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Basic metals > Aluminium, nickel, scandium, titanium and vanadium
Related concepts: aluminium; nickel; scandium; titanium; vanadium"
"14730000-7","Chromium, manganese, cobalt, yttrium and zirconium","4","14000000-1","Mining, basic metals and related products","14700000-8","Basic metals","Basic metals","chromium; manganese; cobalt; yttrium; zirconium","CPV code: 14730000-7
Label: Chromium, manganese, cobalt, yttrium and zirconium
Category: Basic metals
Division: Mining, basic metals and related products
Hierarchy: Mining, basic metals and related products > Basic metals > Chromium, manganese, cobalt, yttrium and zirconium
Related concepts: chromium; manganese; cobalt; yttrium; zirconium"
